year,quarter,index3
1973,1,0
1973,2,0
1973,3,0
1973,4,1
1974,1,1
1974,2,0
1974,3,3
1974,4,2
1975,1,2
1975,2,3
1975,3,3
1975,4,1
1976,1,3
1976,2,2
1976,3,2
1976,4,3
1977,1,3
1977,2,3
1977,3,2
1977,4,1
1978,1,5
1978,2,2
1978,3,3
1978,4,4
1979,1,3
1979,2,3
1979,3,4
1979,4,1
1980,1,3
1980,2,2
1980,3,3
1980,4,4
1981,1,4
1981,2,5
1981,3,4
1981,4,0
1982,1,4
1982,2,2
1982,3,5
1982,4,1
1983,1,2
1983,2,1
1983,3,1
1983,4,0
1984,1,2
1984,2,0
1984,3,1
1984,4,2
1985,1,2
1985,2,3
1985,3,3
1985,4,1
1986,1,3
1986,2,2
1986,3,3
1986,4,2
1987,1,2
1987,2,3
1987,3,2
1987,4,2
1988,1,0
1988,2,1
1988,3,1
1988,4,2
1989,1,1
1989,2,0
1989,3,0
1989,4,0
1990,1,0
1990,2,1
1990,3,0
1990,4,1
1991,1,0
1991,2,0
1991,3,1
1991,4,1
1992,1,1
1992,2,1
1992,3,0
1992,4,1
1993,1,0
1993,2,0
1993,3,0
1993,4,1
1994,1,2
1994,2,0
1994,3,2
1994,4,3
1995,1,2
1995,2,1
1995,3,4
1995,4,6
1996,1,6
1996,2,6
1996,3,2
1996,4,4
1997,1,0
1997,2,0
1997,3,1
1997,4,1
1998,1,0
1998,2,0
1998,3,3
1998,4,4
1999,1,3
1999,2,2
1999,3,3
1999,4,2
2000,1,1
2000,2,3
2000,3,3
2000,4,4
2001,1,2
2001,2,1
2001,3,2
2001,4,0
2002,2,2
2002,3,4
2002,4,6
2003,1,0
2003,2,0
2003,3,6
2003,4,7
2004,1,8
2004,2,3
2004,3,6
2004,4,9
2005,1,0
2005,2,0
2005,3,1
2005,4,1
2006,1,2
2006,2,1
2006,3,1
2006,4,8
2007,1,0
2007,2,1
2007,3,1
2007,4,1
2008,1,0
2008,2,3
2008,3,6
2008,4,2
2009,1,0
2009,2,0
2009,3,1
2009,4,0
2010,1,1
2010,2,1
2010,3,1
2010,4,2
2011,1,1
2011,2,0
2011,3,3
2011,4,1
2012,1,0
2012,2,0
2012,3,4
2012,4,4
2013,1,0
2013,2,0
2013,3,1
2013,4,2
2014,1,3
2014,2,1
2014,3,4
2014,4,2